run_id,vehN,pCAV,seed,mean_flow(veh/h),max_flow(veh/h),mean_speed(m/s),det_xml
vehN70_p015_seed1,70,0.15,1,1094.400,1200.000,26.766,out/vehN70_p015_seed1_e1.xml
vehN80_p015_seed1,80,0.15,1,1118.400,1200.000,25.738,out/vehN80_p015_seed1_e1.xml
vehN90_p015_seed1,90,0.15,1,1102.800,1200.000,26.820,out/vehN90_p015_seed1_e1.xml
vehN100_p015_seed1,100,0.15,1,1107.600,1200.000,20.633,out/vehN100_p015_seed1_e1.xml
vehN110_p015_seed1,110,0.15,1,1113.600,1320.000,27.140,out/vehN110_p015_seed1_e1.xml
vehN120_p015_seed1,120,0.15,1,1104.000,1200.000,13.532,out/vehN120_p015_seed1_e1.xml
vehN10_p020_seed1,10,0.2,1,314.400,540.000,28.046,out/vehN10_p020_seed1_e1.xml
vehN20_p020_seed1,20,0.2,1,631.200,900.000,27.928,out/vehN20_p020_seed1_e1.xml
vehN30_p020_seed1,30,0.2,1,918.000,1020.000,27.816,out/vehN30_p020_seed1_e1.xml
vehN40_p020_seed1,40,0.2,1,1108.800,1200.000,27.766,out/vehN40_p020_seed1_e1.xml
vehN50_p020_seed1,50,0.2,1,1125.600,1200.000,27.784,out/vehN50_p020_seed1_e1.xml
vehN60_p020_seed1,60,0.2,1,1114.800,1200.000,27.757,out/vehN60_p020_seed1_e1.xml
vehN70_p020_seed1,70,0.2,1,1129.200,1260.000,27.249,out/vehN70_p020_seed1_e1.xml
vehN80_p020_seed1,80,0.2,1,1136.400,1260.000,27.150,out/vehN80_p020_seed1_e1.xml
vehN90_p020_seed1,90,0.2,1,1122.000,1260.000,27.158,out/vehN90_p020_seed1_e1.xml
vehN100_p020_seed1,100,0.2,1,1129.200,1200.000,23.471,out/vehN100_p020_seed1_e1.xml
vehN110_p020_seed1,110,0.2,1,1129.200,1260.000,25.845,out/vehN110_p020_seed1_e1.xml
vehN120_p020_seed1,120,0.2,1,1125.600,1260.000,25.204,out/vehN120_p020_seed1_e1.xml
vehN10_p025_seed1,10,0.25,1,314.400,540.000,28.046,out/vehN10_p025_seed1_e1.xml
vehN20_p025_seed1,20,0.25,1,638.400,900.000,27.961,out/vehN20_p025_seed1_e1.xml
vehN30_p025_seed1,30,0.25,1,924.000,1080.000,27.918,out/vehN30_p025_seed1_e1.xml
vehN40_p025_seed1,40,0.25,1,1125.600,1260.000,27.810,out/vehN40_p025_seed1_e1.xml
vehN50_p025_seed1,50,0.25,1,1140.000,1260.000,27.829,out/vehN50_p025_seed1_e1.xml
vehN60_p025_seed1,60,0.25,1,1130.400,1260.000,27.747,out/vehN60_p025_seed1_e1.xml
vehN70_p025_seed1,70,0.25,1,1153.200,1260.000,27.772,out/vehN70_p025_seed1_e1.xml
vehN80_p025_seed1,80,0.25,1,1162.800,1320.000,27.698,out/vehN80_p025_seed1_e1.xml
vehN90_p025_seed1,90,0.25,1,1160.400,1320.000,26.979,out/vehN90_p025_seed1_e1.xml
vehN100_p025_seed1,100,0.25,1,1147.200,1260.000,27.406,out/vehN100_p025_seed1_e1.xml
vehN110_p025_seed1,110,0.25,1,1136.400,1260.000,26.592,out/vehN110_p025_seed1_e1.xml
vehN120_p025_seed1,120,0.25,1,1176.000,1320.000,23.463,out/vehN120_p025_seed1_e1.xml
vehN10_p030_seed1,10,0.3,1,318.000,600.000,26.530,out/vehN10_p030_seed1_e1.xml
vehN20_p030_seed1,20,0.3,1,630.000,1080.000,28.008,out/vehN20_p030_seed1_e1.xml
vehN30_p030_seed1,30,0.3,1,928.800,1080.000,27.928,out/vehN30_p030_seed1_e1.xml
vehN40_p030_seed1,40,0.3,1,1140.000,1200.000,27.822,out/vehN40_p030_seed1_e1.xml
vehN50_p030_seed1,50,0.3,1,1174.800,1260.000,27.833,out/vehN50_p030_seed1_e1.xml
vehN60_p030_seed1,60,0.3,1,1174.800,1320.000,27.805,out/vehN60_p030_seed1_e1.xml
vehN70_p030_seed1,70,0.3,1,1182.000,1320.000,27.836,out/vehN70_p030_seed1_e1.xml
vehN80_p030_seed1,80,0.3,1,1172.400,1320.000,27.779,out/vehN80_p030_seed1_e1.xml
vehN90_p030_seed1,90,0.3,1,1191.600,1260.000,27.543,out/vehN90_p030_seed1_e1.xml
vehN100_p030_seed1,100,0.3,1,1200.000,1320.000,24.265,out/vehN100_p030_seed1_e1.xml
vehN110_p030_seed1,110,0.3,1,1171.200,1260.000,24.142,out/vehN110_p030_seed1_e1.xml
vehN120_p030_seed1,120,0.3,1,1227.600,1320.000,23.330,out/vehN120_p030_seed1_e1.xml
